Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs
Cream soups,255,78.43137255,2.745098039,4.705882353,4.31372549,0.470588235,7.058823529
Noodle,250,46,2.4,1.6,1.2,0.08,5.2
Split-pea soup,250,58.8,3.2,1.2,1.2,0.2,10
Tomato soup,245,71.42857143,2.448979592,2.857142857,2.448979592,0.204081633,8.979591837
Vegetable,250,32,1.6,0.8,0.8,0,5.6
Apple betty,100,150,1,4,0,0.5,29
Bread pudding,200,187,5.5,6,5.5,0.1,28
Cakes,40,275,7.5,#VALUE!,0,0,57.5
Chocolate fudge,120,350,4.166666667,11.66666667,10,0.25,58.33333333
Cupcake,50,320,6,6,4,#VALUE!,62
Fruit cake,30,350,6.666666667,13.33333333,10,0.666666667,56.66666667
Gingerbread,55,327.2727273,3.636363636,12.72727273,10.90909091,#VALUE!,50.90909091
"Plain, with no icing",55,327.2727273,7.272727273,9.090909091,7.272727273,#VALUE!,56.36363636
Sponge cake,40,287.5,7.5,5,5,0,55
Candy,25,416,#VALUE!,12,12,0,76
Chocolate creams,30,433.3333333,#VALUE!,13.33333333,13.33333333,0,80
Fudge,90,411.1111111,#VALUE!,13.33333333,12.22222222,0.111111111,88.88888889
Hard candies,28,321.4285714,#VALUE!,0,0,0,100
Marshmallows,30,326.6666667,3.333333333,0,0,0,76.66666667
Milk chocolate,56,517.8571429,3.571428571,10.71428571,10.71428571,0.357142857,78.57142857
Chocolate syrup,40,200,#VALUE!,#VALUE!,#VALUE!,0,55
Doughnuts,33,409.0909091,6.060606061,21.21212121,12.12121212,#VALUE!,51.51515152
"Gelatin, made with water",239,64.85355649,1.673640167,#VALUE!,#VALUE!,0,15.06276151
Honey,42,285.7142857,#VALUE!,0,0,0,71.42857143
Ice cream,300,83.33333333,0,0,4,3.333333333,0
Ices,150,78,0,0,0,0,32
preserves,20,275,0,0,0,#VALUE!,70
Jellies,20,250,0,0,0,0,65
Molasses,20,225,0,0,0,40,55
Cane Syrup,20,250,0,0,0,0,65
"9"" diam. pie",135,244.4444444,2.222222222,9.62962963,8.148148148,0.074074074,39.25925926
Cherry Pie,135,251.8518519,2.222222222,9.62962963,8.148148148,0.074074074,40.74074074
Custard,130,203.8461538,5.384615385,8.461538462,7.692307692,0,26.15384615
Lemon meringue,120,250,3.333333333,10,8.333333333,0.083333333,37.5
Mince,135,251.8518519,2.222222222,6.666666667,5.925925926,0.518518519,45.92592593
Pumpkin Pie,130,203.8461538,3.846153846,9.230769231,8.461538462,6.153846154,26.15384615
Puddings Sugar,200,385,0,0,0,0,99.5
3 teaspoons sugar,12,416.6666667,0,0,0,0,100
"Brown, firm-packed, dark sugar",220,370.4545455,0,#VALUE!,0,0,95.45454545
Syrup,40,250,0,0,0,0,62.5
table blends sugar,40,275,0,0,0,0,72.5
Tapioca cream pudding,250,134,4,4,3.6,0,16.8
Almonds,70,607.1428571,18.57142857,54.28571429,40,2.571428571,18.57142857
roasted and salted,70,627.1428571,18.57142857,57.14285714,44.28571429,2.571428571,18.57142857
Brazil nuts,70,652.8571429,14.28571429,67.14285714,44.28571429,2.857142857,10
Cashews,70,560,17.14285714,45.71428571,40,1.285714286,28.57142857
coconut sweetened,50,548,2,40,38,4,52
Peanut butter,50,600,24,50,34,1.8,18
"Peanut butter, natural",50,568,26,48,20,1.8,16
Peanuts,50,580,26,50,32,2.4,18
Pecans,52,659.6153846,9.615384615,67.30769231,48.07692308,2.115384615,13.46153846
Sesame seeds,50,560,18,48,26,6.2,20
Sunflower seeds,50,560,24,52,14,3.8,20
Walnuts,50,650,14,64,14,2,16
Beer,480,47.5,#VALUE!,0,0,0,1.666666667
Gin,28,250,0,0,0,0,#VALUE!
Wines,120,136.6666667,#VALUE!,0,0,0,7.5
Table (12.2% alcohol),120,83.33333333,#VALUE!,0,0,0,4.166666667
Carbonated drinks Artificially sweetened,346,0,0,0,0,0,0
Club soda,346,0,0,0,0,0,0
Cola drinks,346,39.59537572,0,0,0,0,10.98265896
Fruit-flavored soda,346,46.53179191,0,0,0,0,12.13872832
Ginger ale,346,30.34682081,0,0,0,0,8.092485549
Root beer,346,40.46242775,0,0,0,0,10.11560694
Coffee,230,1.304347826,#VALUE!,0,0,0,0.434782609
Tea,230,1.739130435,0,#VALUE!,0,0,0.434782609
